gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160255	60121.25003243029	3.1307707333593773	0.1467072208120643	21.340263390102486	4.802337405443311e-101	1.0997352658465182e-98
ENSG00000156265	31970.81307211887	2.9996045504503144	0.14670159007771746	20.44698049190351	6.391082784187051e-93	7.317789787894173e-91
ENSG00000180509	35032.21833375324	3.231562280927128	0.1718248521533484	18.80730430102776	6.579973437121183e-79	5.0227130570025026e-77
ENSG00000142192	47649.19924080446	3.089049256701144	0.1819023984526908	16.98190503796213	1.1179748121671256e-64	6.400405799656794e-63
ENSG00000183527	7909.9474725077935	2.8325885829217587	0.17001147893341906	16.66116076803893	2.5110337889194534e-62	1.1500534753251095e-60
ENSG00000159128	10515.107034580295	2.49405323124905	0.1545092060086222	16.14177753984363	1.2975013704122538e-58	4.9521302304067685e-57
ENSG00000142168	6492.651815419254	2.9836394957448764	0.22482830245174235	13.270746890887064	3.421533927660923e-40	1.1193303849062162e-38
ENSG00000160307	4685.968232977231	3.35593000871257	0.2865516598622422	11.71143105688486	1.113836003038276e-31	3.1883555586970645e-30
ENSG00000159197	1664.611600421119	2.2369073432051327	0.20351544743068561	10.991339337850462	4.206372310136518e-28	1.0702880655791807e-26
ENSG00000160284	7003.41477089995	3.4482504294807503	0.5555845872347712	6.206526438473061	5.416851146614443e-10	1.2404589125747073e-8
ENSG00000183421	2747.784369347727	-0.6382269744999374	0.1802755009247833	-3.540286790084838	3.996924403563858e-4	0.00832086989469203
ENSG00000166265	1156.4810911844243	-0.6764148223757055	0.2089242143036364	-3.2376085492543707	0.0012053607453931013	0.023002300891251683
ENSG00000156256	5807.111549184909	-0.44728457087407736	0.14701350261756757	-3.042472717881007	0.002346430862831921	0.041333282122193074
ENSG00000272804	578.3262921849894	-1.0506602903653077	0.35674890252932745	-2.9450974702828567	0.003228529381498255	0.052809516311650026
ENSG00000154736	2764.2738905276087	-0.6524525253898358	0.22732525916931912	-2.8701277094063196	0.004103060452810771	0.06264005624624444
ENSG00000184900	2641.207909468471	0.5374298848771881	0.19572947229340412	2.745779051974172	0.0060367404185008725	0.08640084723979374
ENSG00000285815	1192.5134009160208	-0.5588638306479607	0.21526901727755812	-2.596118278959703	0.009428360298958495	0.12700555932126445
ENSG00000275464	3625.796177705321	-0.45302250900932167	0.1783385356743817	-2.5402390307637717	0.011077673067810262	0.14093261847380834
ENSG00000154721	4215.702886078812	-0.4702481949556007	0.1922663812547185	-2.4458160177915147	0.014452472976700827	0.17419033219286786
ENSG00000184351	193.1383888814691	0.9761207565152225	0.41615098903296494	2.345592783002854	0.018996849758605546	0.21637056641651845
ENSG00000142178	2034.2808666720991	0.5069675322073307	0.21764566146056125	2.3293252381196505	0.019841842335139245	0.21637056641651845
ENSG00000156284	755.7538893447573	-0.6281573919693937	0.27849528800620565	-2.255540467009254	0.024099425210082608	0.24326923992797445
ENSG00000157542	8978.132416532339	0.40552366982811483	0.18091970120348147	2.241456663539478	0.024996509649878814	0.24326923992797445
ENSG00000156282	399.75825605154	-0.8606459672045217	0.38528134306208883	-2.2338116877510648	0.025495466193324833	0.24326923992797445
ENSG00000160213	3465.886466985479	0.46040452391500064	0.22611704150208364	2.0361336804009	0.04173693352137986	0.3823103110558395
ENSG00000186965	136.95430432768538	-0.9417449155207817	0.4750297694295954	-1.9824966267937414	0.047423684548792276	0.4176932216028243
ENSG00000160282	4488.827421668519	0.3350518514376043	0.1712526666578435	1.9564766959630797	0.050409025063623845	0.4275432125766615
ENSG00000184724	161.99044064987595	0.8427456906044025	0.43685791222933323	1.9291070780972697	0.05371757048077981	0.43933298714637775
ENSG00000205929	1291.5519637722969	-0.39424646722887874	0.20875028898100637	-1.8886032165672844	0.05894501568043811	0.46546236520070094
ENSG00000171189	8603.927834156766	-0.3189886228925602	0.17167056621295243	-1.8581439435393015	0.0631485759370789	0.4820341296530356
ENSG00000160214	4552.248724416469	0.31565204593962154	0.1722988389309966	1.83200332572198	0.06695092512615226	0.49457296302867315
ENSG00000205670	1965.063541838801	0.40365087139194605	0.224017583474524	1.801871376037991	0.07156564464775118	0.5084952681845037
ENSG00000160216	13268.674137954535	0.2892927458715977	0.16151644415501348	1.7911039794434331	0.07327661069907696	0.5084952681845037
ENSG00000154734	4209.346398952304	-0.31509803868865627	0.18502583500526143	-1.7029948205865202	0.08856903768588274	0.5516588366946775
ENSG00000142182	1437.959332918409	0.4349994436073253	0.2575264444008216	1.689144758005044	0.09119169234288192	0.5516588366946775
ENSG00000156239	3403.6134089535017	-0.4018469694243764	0.23822451980695286	-1.6868413450891466	0.09163386302390025	0.5516588366946775
ENSG00000183778	7339.530221831625	-0.2946007981618135	0.17619001544688903	-1.6720629566583947	0.09451190825096233	0.5516588366946775
ENSG00000159082	13437.585609378708	0.28187296934790707	0.16913796673743947	1.666526887990035	0.09560851735074175	0.5516588366946775
ENSG00000244362	175.6034083025819	0.7141648300513463	0.42980805732567084	1.6615901397823607	0.0965949817243555	0.5516588366946775
ENSG00000159263	4656.377018166633	-0.37516967141001095	0.22583990519340724	-1.6612195753833632	0.09666935545919175	0.5516588366946775
ENSG00000156299	8644.3169973385	0.27085827366224563	0.16445268410522387	1.647028597532278	0.09955216792520045	0.5516588366946775
ENSG00000205581	7601.871728525886	0.26312087334135675	0.16052067540004303	1.6391712325257648	0.10117760323657841	0.5516588366946775
ENSG00000185437	2334.685322297374	0.39558182469904	0.24785414120822652	1.5960266904183171	0.11048283445110192	0.588385327658194
ENSG00000182240	6918.2761475779	-0.368827700288045	0.23380722863927242	-1.577486301148917	0.11468367171275576	0.5968763823232061
